District,District Code,fiscal_year,total_expenditures,ppe_total,pupils_enrolled_plus_outplaced,pupils_enrolled_in_district,pupils_transported,exp_central_and_other_support_services,exp_enterprise_operations,exp_food_services,exp_instruction,exp_minor_school_construction,exp_operation_and_maintenance_of_plant,exp_student_transportation_services,exp_support_services_general_administration,exp_support_services_instruction,exp_support_services_school_based_administration,exp_support_services_students,ppe_central_and_other_support_services,ppe_enterprise_operations,ppe_food_services,ppe_instruction,ppe_minor_school_construction,ppe_operation_and_maintenance_of_plant,ppe_student_transportation_services,ppe_support_services_general_administration,ppe_support_services_instruction,ppe_support_services_school_based_administration,ppe_support_services_students,cpi_u,deflator,ppe_total_real,total_expenditures_real,exp_central_and_other_support_services_real,exp_enterprise_operations_real,exp_food_services_real,exp_instruction_real,exp_minor_school_construction_real,exp_operation_and_maintenance_of_plant_real,exp_student_transportation_services_real,exp_support_services_general_administration_real,exp_support_services_instruction_real,exp_support_services_school_based_administration_real,exp_support_services_students_real,ppe_central_and_other_support_services_real,ppe_enterprise_operations_real,ppe_food_services_real,ppe_instruction_real,ppe_minor_school_construction_real,ppe_operation_and_maintenance_of_plant_real,ppe_student_transportation_services_real,ppe_support_services_general_administration_real,ppe_support_services_instruction_real,ppe_support_services_school_based_administration_real,ppe_support_services_students_real
Cornwall School District,0310011,2018,2976643.0,40225.0,74.0,73.0,120.0,5451.0,5009.0,0.0,1897841.0,0.0,239558.0,226023.0,141362.0,83379.0,219862.0,158158.0,75.0,69.0,0.0,25647.0,0.0,3282.0,1884.0,1936.0,1142.0,3012.0,2167.0,251.1,1.282206292313819,51576.74810832337,3816670.3845718834,6989.306499402628,6422.57131819992,0.0,2433423.672011151,0.0,307162.77497411385,289808.11280764634,181255.2458940661,106909.07844683393,281908.4398407009,202791.182779769,96.16547192353643,88.47223416965352,0.0,32884.74477897252,0.0,4208.201051373954,2415.676654719235,2482.3513819195537,1464.2795858223815,3862.005352449223,2778.541035444046
Coventry School District,0320011,2018,28564685.0,16030.0,1782.0,1682.0,1563.0,1540106.0,0.0,0.0,18381339.0,154284.0,2574678.0,1893718.0,582161.0,403079.0,1431801.0,1603520.0,916.0,0.0,0.0,10315.0,92.0,1531.0,1212.0,346.0,240.0,851.0,953.0,251.1,1.282206292313819,20553.76686579052,36625818.844962165,1974733.6040302666,0.0,0.0,23568668.526953403,197823.91560334526,3301268.3322819592,2428137.135467941,746450.4973397052,516830.43009956187,1835864.2515412185,2056043.433851055,1174.5009637594583,0.0,0.0,13225.957905217045,117.96297889287136,1963.0578335324572,1554.0340262843488,443.64337714058144,307.7295101553166,1091.15755475906,1221.9425965750695
Cromwell School District,0330011,2018,31024652.0,14923.0,2079.0,1961.0,1987.0,820885.0,461967.0,0.0,19494354.0,0.0,3329671.0,1221327.0,993786.0,385880.0,2108275.0,2208508.0,419.0,236.0,0.0,9377.0,0.0,1698.0,615.0,507.0,197.0,1075.0,1126.0,251.1,1.282206292313819,19134.36450019912,39780004.01124651,1052543.9122660295,592336.9942413381,0.0,24995783.36339307,0.0,4269325.107534846,1565993.1643727596,1274238.662413381,494777.7640780565,2703243.470927917,2831762.854225408,537.2444364794902,302.6006849860613,0.0,12023.248403026682,0.0,2177.186284348865,788.5568697729988,650.0785902031063,252.59463958582236,1378.3717642373556,1443.7642851453604
Danbury School District,0340011,2018,150282571.0,13037.0,11527.0,11462.0,11266.0,8120989.0,1007367.0,0.0,94015686.0,0.0,13470117.0,8838857.0,5613924.0,4104395.0,8140381.0,6970853.0,709.0,88.0,0.0,8156.0,0.0,1175.0,785.0,490.0,358.0,710.0,608.0,251.1,1.282206292313819,16716.12343289526,192693258.16129827,10412783.19561131,1291652.306069295,0.0,120547504.16540024,0.0,17271468.775603343,11333238.062262047,7198208.677371564,5262681.095141377,10437647.740031859,8938071.579394663,909.0842612504978,112.83415372361608,0.0,10457.674520111508,0.0,1506.5923934687376,1006.531939466348,628.2810832337714,459.02985264834723,910.3664675428116,779.581425726802
Darien School District,0350011,2018,103200140.0,21327.0,4839.0,4789.0,2531.0,4750908.0,1774759.0,0.0,61631339.0,1283786.0,9009767.0,3418781.0,1912331.0,5884926.0,4798165.0,8735378.0,992.0,371.0,0.0,12736.0,268.0,1881.0,1351.0,399.0,1229.0,1002.0,1824.0,251.1,1.282206292313819,27345.61359617682,132323868.87566705,6091644.131804062,2275607.1571405814,0.0,79024090.66952609,1646078.4871843886,11552379.939681401,4383582.510242931,2452002.841186778,7545689.147001194,6152237.354559936,11200556.637339704,1271.9486419753086,475.69853444842687,0.0,16330.1793389088,343.63128634010354,2411.830035842294,1732.2607009159697,511.60031063321384,1575.8315332536836,1284.7707048984466,2338.7442771804062
Deep River School District,0360011,2018,5553272.0,19083.0,291.0,275.0,277.0,836132.0,0.0,9000.0,2640284.0,0.0,382011.0,156550.0,1085387.0,58218.0,263670.0,122019.0,3040.0,0.0,33.0,9073.0,0.0,1389.0,565.0,3947.0,212.0,959.0,444.0,251.1,1.282206292313819,24468.34267622461,7120440.301330147,1072093.7116049381,0.0,11539.856630824372,3385388.7582954997,0.0,489816.90793309436,200729.39506172837,1391690.0409956193,74647.48592592592,338079.3330943847,156453.5295818399,3897.90712863401,0.0,42.31280764635603,11633.45769016328,0.0,1780.9845400238949,724.4465551573078,5060.868235762644,271.82773397052966,1229.6358343289526,569.2995937873357
Derby School District,0370011,2018,26504131.0,17788.0,1490.0,1364.0,1238.0,399503.0,365783.0,0.0,16852625.0,0.0,2738867.0,1321745.0,898689.0,559126.0,1747930.0,1619864.0,293.0,268.0,0.0,11310.0,0.0,2008.0,1068.0,659.0,410.0,1281.0,1188.0,251.1,1.282206292313819,22807.885527678216,33983763.54050975,512245.2603982477,469009.2642214257,0.0,21608541.817005176,0.0,3511792.501210673,1694749.755834329,1152304.6906332138,716914.8753962565,2241206.844524094,2076999.8134926322,375.686443647949,343.63128634010354,0.0,14501.753166069295,0.0,2574.6702349661487,1369.3963201911588,844.9739466348068,525.7045798486658,1642.5062604540024,1523.2610752688172
East Granby School District,0400011,2018,17912113.0,20036.0,894.0,838.0,838.0,987759.0,602636.0,0.0,10558593.0,0.0,1403130.0,660392.0,421510.0,882857.0,1259612.0,1135625.0,1179.0,719.0,0.0,11811.0,0.0,1674.0,788.0,503.0,1054.0,1503.0,1355.0,251.1,1.282206292313819,25690.28527279968,22967023.99723616,1266510.8050896057,772703.6711748306,0.0,13538294.382580644,0.0,1799102.114934289,846758.7777937077,540462.7742731979,1132004.8006133013,1615082.4322739942,1456105.5207088809,1511.7212186379927,921.906324173636,0.0,15144.138518518517,0.0,2146.4133333333334,1010.3785583432895,644.949765033851,1351.4454320987654,1927.1560573476702,1737.3895260852248
East Haddam School District,0410011,2018,21252395.0,20049.0,1060.0,1018.0,1043.0,511004.0,0.0,70676.0,12713499.0,230264.0,2269075.0,1197372.0,1027535.0,732371.0,1103401.0,1397198.0,502.0,0.0,69.0,11994.0,226.0,2229.0,1148.0,1009.0,719.0,1084.0,1372.0,251.1,1.282206292313819,25706.953954599758,27249954.595738746,655212.5441975308,0.0,90621.21191557148,16301328.415125446,295245.94969334925,2909422.242731979,1535277.9126403823,1317511.8425726802,939050.704508164,1414787.7051453602,1791496.0672082833,643.6675587415372,0.0,88.47223416965352,15378.782270011947,289.7786220629231,2858.0378255675028,1471.9728235762643,1293.7461489446434,921.906324173636,1389.9116208681799,1759.1870330545598
East Hampton School District,0420011,2018,32768692.0,16617.0,1972.0,1861.0,1895.0,1134401.0,0.0,0.0,21750819.0,646774.0,2353262.0,1443589.0,870634.0,693477.0,1562368.0,2313369.0,610.0,0.0,0.0,11030.0,348.0,1265.0,762.0,468.0,373.0,840.0,1243.0,251.1,1.282206292313819,21306.42195937873,42016223.07329351,1454536.1002070887,0.0,0.0,27889036.98477897,829297.692504978,3017367.3438630025,1850978.8993150138,1116332.3931023495,889180.5729749104,2003278.080509757,2966216.2882437273,782.1458383114297,0.0,0.0,14142.735404221425,446.20778972520907,1621.990959776981,977.0411947431302,600.0725448028674,478.2629470330545,1077.0532855436081,1593.7824213460772
East Hartford School District,0430011,2018,121031998.0,14519.0,8336.0,6849.0,5268.0,6033895.0,0.0,0.0,75020192.0,1007824.0,11539746.0,6198809.0,1044274.0,4478419.0,5698689.0,10010151.0,881.0,0.0,0.0,9000.0,147.0,1685.0,1177.0,152.0,654.0,832.0,1462.0,251.1,1.282206292313819,18616.35315810434,155187989.40691358,7736698.1361608915,0.0,0.0,96191362.23299083,1292238.2743448825,14796334.932903225,7948151.904651533,1338974.6936997212,5742257.021417761,7306894.893739546,12835078.59921147,1129.6237435284747,0.0,0.0,11539.856630824372,188.4843249701314,2160.5176025487854,1509.156806053365,194.8953564317005,838.5629151732377,1066.7956352050976,1874.5855993628036
East Haven School District,0440011,2018,54805132.0,16557.0,3310.0,2853.0,3044.0,2129426.0,0.0,0.0,34945626.0,0.0,4348467.0,3329241.0,629966.0,1676548.0,3533335.0,4212522.0,746.0,0.0,0.0,10558.0,0.0,1524.0,1094.0,221.0,588.0,1238.0,1477.0,251.1,1.282206292313819,21229.4895818399,70271485.10148944,2730363.416216647,0.0,0.0,44807501.5460454,0.0,5575631.749318996,4268773.758829151,807746.3691437674,2149680.394966149,4530464.369852648,5401322.214910394,956.525894066109,0.0,0.0,13537.534034249302,0.0,1954.0823894862604,1402.733683791318,283.36759060135404,753.9372998805256,1587.371389884508,1893.818693747511
East Lyme School District,0450011,2018,47383200.0,16720.0,2834.0,2753.0,2779.0,800111.0,1140510.0,0.0,27955342.0,0.0,5877694.0,2129400.0,2261220.0,2294330.0,2462341.0,2462251.0,291.0,414.0,0.0,9864.0,0.0,2135.0,766.0,821.0,833.0,894.0,894.0,251.1,1.282206292313819,21438.489207487055,60755037.18996415,1025907.3587495021,1462369.098446834,0.0,35844515.41618478,0.0,7536416.231095181,2730330.0788530465,2899350.512305854,2941804.3626443646,3157229.1240223018,3157113.7254559933,373.12203106332134,530.8334050179211,0.0,12647.682867383512,0.0,2737.510434090004,982.1700199123854,1052.6913659896454,1068.0778414974113,1146.2924253285544,1146.2924253285544
East Windsor School District,0470011,2018,27186886.0,22339.0,1217.0,1068.0,1096.0,1113808.0,1237117.0,17.0,15564306.0,2174397.0,721146.0,1520918.0,766252.0,835679.0,1403124.0,1850120.0,1043.0,1158.0,0.0,12789.0,2036.0,675.0,1388.0,717.0,782.0,1314.0,1732.0,251.1,1.282206292313819,28643.206363998404,34859196.29761848,1428131.6260294702,1586239.201728395,21.797506969334925,19956651.088697728,2788025.5153882913,924657.9388769415,1950130.6296933491,982493.1358980485,1071512.8721545201,1799094.421696535,2372235.505535643,1337.3411628833132,1484.7948864994025,0.0,16398.136272401433,2610.572011150936,865.4892473118279,1779.702333731581,919.3419115890083,1002.6853205894065,1684.8190681003582,2220.781298287535
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,2018,16451430.0,38709.0,425.0,425.0,62.0,0.0,0.0,0.0,12690417.0,0.0,0.0,337420.0,0.0,150000.0,0.0,3273594.0,0.0,0.0,0.0,29860.0,0.0,0.0,5442.0,0.0,353.0,0.0,7703.0,251.1,1.282206292313819,49632.92336917562,21094127.063560333,0.0,0.0,0.0,16271732.52948626,0.0,0.0,432642.04715252883,0.0,192330.94384707286,0.0,4197422.825280764,0.0,0.0,0.0,38286.67988849064,0.0,0.0,6977.766642771803,0.0,452.6188211867781,0.0,9876.835069693348
Eastford School District,0390011,2018,3943527.0,19620.0,201.0,150.0,206.0,14187.0,0.0,0.0,2674105.0,115330.0,208539.0,242796.0,178714.0,104748.0,177460.0,227647.0,95.0,0.0,0.0,13304.0,769.0,1390.0,1179.0,1191.0,698.0,1183.0,1518.0,251.1,1.282206292313819,25156.88745519713,5056415.133309438,18190.660669056153,0.0,0.0,3428754.257307845,147876.85169255277,267390.01799283153,311314.55894862604,229148.21532457188,134308.54470728792,227540.32863401034,291890.41582636395,121.80959776981281,0.0,0.0,17058.472512943048,986.0166387893269,1782.2667463162086,1511.7212186379927,1527.1076941457586,894.9799920350457,1516.850043807248,1946.3891517323775
Easton School District,0460011,2018,17224512.0,18907.0,911.0,904.0,904.0,326752.0,0.0,54.0,12146303.0,0.0,1452954.0,1052727.0,301008.0,338743.0,1357489.0,248482.0,361.0,0.0,0.0,13333.0,0.0,1607.0,1165.0,333.0,375.0,1502.0,275.0,251.1,1.282206292313819,24242.674368777378,22085377.668434884,418963.47042612504,0.0,69.23913978494623,15574066.134950219,0.0,1862986.7612425326,1349813.1834886498,385954.35163679806,434338.40607726004,1740580.937546794,318605.1839267224,462.8764715252887,0.0,0.0,17095.65649542015,0.0,2060.5055117483075,1493.7703305455993,426.97469534050174,480.8273596176822,1925.8738510553562,352.6067303863002
EdAdvance,2420014,2018,2999546.0,12929.0,232.0,232.0,0.0,14383.0,0.0,0.0,1237319.0,0.0,228282.0,0.0,754475.0,530281.0,16342.0,218465.0,62.0,0.0,0.0,5333.0,0.0,984.0,0.0,3252.0,2286.0,70.0,942.0,251.1,1.282206292313819,16577.645153325368,3846036.7552847466,18441.97310234966,0.0,0.0,1586498.2073994423,0.0,292704.61682198325,0.0,967392.5923934687,679929.6348944643,20953.815228992433,280117.19765033846,79.49679012345679,0.0,0.0,6838.006156909597,0.0,1261.690991636798,0.0,4169.73486260454,2931.1235842293904,89.75444046196733,1207.8383273596176
Ellington School District,0480011,2018,40175787.0,14292.0,2811.0,2682.0,2712.0,1297637.0,553541.0,0.0,24886293.0,85077.0,3404021.0,2060800.0,594404.0,1221632.0,1854308.0,4218074.0,484.0,206.0,0.0,8853.0,32.0,1269.0,760.0,222.0,455.0,691.0,1573.0,251.1,1.282206292313819,18325.292329749103,51513646.89005973,1663838.3265392273,709753.7532536838,0.0,31909361.47696535,109086.26473118279,4364657.145368379,2642370.7272003186,762148.5489765033,1566384.2372919156,2377605.385487853,5408441.02424532,620.5878454798884,264.1344962166467,0.0,11351.37230585424,41.03060135404221,1627.1197849462365,974.4767821585025,284.6497968936678,583.4038630027877,886.004547988849,2016.9104978096375
Elm City College Preparatory School District,2890013,2018,12355129.0,16430.0,752.0,752.0,53.0,1125610.0,0.0,0.0,6723241.0,648725.0,512801.0,138059.0,0.0,284267.0,1899863.0,1022563.0,1497.0,0.0,0.0,8940.0,863.0,682.0,2605.0,0.0,378.0,2526.0,1360.0,251.1,1.282206292313819,21066.64938271605,15841824.146148944,1443264.224691358,0.0,0.0,8620581.914942253,831799.2769812823,657516.6689048187,177020.11851055356,0.0,364488.93609717244,2436016.2931342092,1311136.7128872958,1919.4628195937871,0.0,0.0,11462.924253285542,1106.544030266826,874.4646913580247,3340.147391477499,0.0,484.6739784946236,3238.853094384707,1743.800557546794
Elm City Montessori School District,2910013,2018,2592160.0,15248.0,170.0,170.0,100.0,43782.0,0.0,0.0,1318628.0,0.0,479126.0,117041.0,6000.0,219218.0,308469.0,99895.0,258.0,0.0,0.0,7757.0,0.0,2818.0,1170.0,35.0,1290.0,1815.0,588.0,251.1,1.282206292313819,19551.081545201112,3323683.8626841893,56137.555890083626,0.0,0.0,1690753.1188211867,0.0,614338.3720111509,150070.7066587017,7693.237753882915,281082.6989884508,395520.8927837515,128085.99757068895,330.8092234169653,0.0,0.0,9946.074209478295,0.0,3613.257331740342,1500.1813620071684,44.87722023098367,1654.0461170848266,2327.2044205495818,753.9372998805256
Enfield School District,0490011,2018,83487131.0,14911.0,5599.0,5181.0,2808.0,2912596.0,907583.0,353517.0,55838508.0,26955.0,8917352.0,4810560.0,2724443.0,2625799.0,3460795.0,909022.0,562.0,175.0,68.0,9973.0,5.0,1721.0,1713.0,526.0,507.0,668.0,175.0,251.1,1.282206292313819,19118.978024691358,107047724.6954281,3734548.9181680605,1163708.633397053,453281.7218399044,71596486.31101553,34561.870609319,11433884.84517722,6168130.301553166,3493297.9576503383,3366816.000151334,4437453.125408203,1165553.7282516924,720.5999362803664,224.38610115491835,87.1900278773397,12787.443353245719,6.411031461569095,2206.677029072083,2196.419378733572,674.4405097570689,650.0785902031063,856.5138032656312,224.38610115491835
Essex School District,0500011,2018,7705021.0,22014.0,350.0,343.0,335.0,1068750.0,0.0,12522.0,3718515.0,80273.0,718266.0,201325.0,1273735.0,82592.0,301413.0,247631.0,3116.0,0.0,37.0,10624.0,234.0,2094.0,601.0,3714.0,241.0,879.0,722.0,251.1,1.282206292313819,28226.489318996413,9879426.408610115,1370357.974910394,0.0,16055.787192353642,4767903.331063321,102926.5457029072,920965.1847550776,258140.18180007962,1633191.0317403423,105899.98209478294,386473.64518518513,317514.0263719633,3995.3548068498603,0.0,47.44163281561131,13622.159649542014,300.0362724014337,2684.9399761051372,770.6059816806053,4762.114169653524,309.0117164476304,1127.059330943847,925.7529430505774
Explorations District,2720013,2018,1891455.0,19703.0,96.0,96.0,42.0,0.0,0.0,0.0,767675.0,0.0,259686.0,42169.0,40487.0,93955.0,390927.0,296557.0,0.0,0.0,0.0,7997.0,0.0,2705.0,1004.0,422.0,979.0,4072.0,3089.0,251.1,1.282206292313819,25263.31057745918,2425235.502628435,0.0,0.0,0.0,984317.7154520111,0.0,332971.0232258064,54069.35714058144,51912.68615690959,120469.69219434487,501249.0592353644,380247.25142970926,0.0,0.0,0.0,10253.803719633612,0.0,3468.3680207088805,1287.3351174830743,541.0910553564316,1255.279960175229,5221.144022301872,3960.7352369573873
Fairfield School District,0510011,2018,180911202.0,17928.0,10091.0,9928.0,7009.0,5898761.0,2275929.0,0.0,109857363.0,55278.0,16443729.0,9273776.0,563063.0,10694101.0,12421552.0,13427649.0,594.0,229.0,0.0,10887.0,6.0,1656.0,1323.0,57.0,1077.0,1251.0,1353.0,251.1,1.282206292313819,22987.394408602147,231965481.55445638,7563428.471055356,2918210.484659498,0.0,140859802.09560335,70877.7994265233,21084252.792903226,11890893.94070888,721962.9215690959,13712043.592839506,15926992.134703305,17217016.03878136,761.6305376344086,293.62524093986457,0.0,13959.379904420548,7.693237753882915,2123.3336200716844,1696.3589247311827,73.0857586618877,1380.9361768219833,1604.0400716845877,1734.8251135005974
Farmington School District,0520011,2018,71116967.0,16714.0,4255.0,4097.0,3651.0,1606479.0,0.0,0.0,43622207.0,13950.0,7666125.0,3609117.0,707052.0,3132844.0,4127850.0,6631343.0,392.0,0.0,0.0,10252.0,3.0,1871.0,989.0,173.0,765.0,1008.0,1619.0,251.1,1.282206292313819,21430.79596973317,91186622.57767422,2059837.482270012,0.0,0.0,55932668.30001593,17886.777777777777,9829553.712664276,4627632.5270967735,906586.5233930704,4016952.2896375945,5292755.243727598,8502749.721091198,502.6248665870171,0.0,0.0,13145.178908801274,3.8466188769414575,2399.0079729191557,1268.102023098367,221.82168857029072,980.8878136200716,1292.4639426523297,2075.891987256073
Franklin School District,0530011,2018,4147596.0,16590.0,250.0,164.0,233.0,46405.0,0.0,0.0,2719916.0,0.0,459872.0,235316.0,279391.0,57557.0,151312.0,197827.0,283.0,0.0,0.0,10880.0,0.0,2804.0,1010.0,1704.0,351.0,923.0,1206.0,251.1,1.282206292313819,21271.80238948626,5318073.689175627,59500.78299482277,0.0,0.0,3487493.4097650335,0.0,589650.7720589406,301723.6558821187,358236.89821585023,73799.94756670648,194013.1985025886,253655.02418956588,362.8643807248108,0.0,0.0,13950.404460374351,0.0,3595.306443647949,1295.0283552369574,2184.8795221027476,450.0544086021505,1183.476407805655,1546.340788530466
Glastonbury School District,0540011,2018,109575441.0,17791.0,6159.0,5913.0,5904.0,2725478.0,1942864.0,48271.0,66302497.0,632322.0,12571827.0,4977537.0,1575586.0,6301036.0,5877387.0,6620634.0,461.0,329.0,8.0,10765.0,107.0,2126.0,843.0,266.0,1066.0,994.0,1120.0,251.1,1.282206292313819,22811.732146555154,140498319.93326163,3494625.041162883,2491152.445909996,61893.37993628036,85013478.84951812,810767.2471684588,16119675.685280763,6382229.26162485,2020226.283281561,8079228.007295897,7536022.59376344,8489018.57390681,591.0971007566706,421.8458701712465,10.257650338510553,13802.950736758263,137.19607327757865,2725.9705774591794,1080.8999044205495,341.0668737554759,1366.831907606531,1274.513054559936,1436.0710473914774
Granby School District,0560011,2018,30075085.0,15519.0,1938.0,1865.0,1906.0,502443.0,779817.0,8464.0,18254770.0,0.0,2794646.0,1460446.0,560853.0,1172125.0,2017105.0,2524415.0,269.0,418.0,5.0,9419.0,0.0,1498.0,766.0,301.0,628.0,1082.0,1354.0,251.1,1.282206292313819,19898.559450418157,38562463.228872955,644235.5761290322,999886.2642532855,10852.594058144165,23406380.958741535,0.0,3583312.6859896453,1872593.0507845478,719129.2456630823,1502906.0503783352,2586344.723257666,3236820.7974113896,344.91349263241733,535.9622301871764,6.411031461569095,12077.101067303862,0.0,1920.745025886101,982.1700199123854,385.94409398645956,805.2255515730784,1387.3472082835522,1736.107319792911
Great Oaks Charter School District,2940013,2018,5466999.0,13667.0,400.0,400.0,282.0,818060.0,0.0,0.0,1869101.0,0.0,1070792.0,345606.0,162589.0,11120.0,1103796.0,85936.0,2045.0,0.0,0.0,4673.0,0.0,2677.0,1226.0,406.0,28.0,2759.0,215.0,251.1,1.282206292313819,17523.913397052966,7009820.517873357,1048921.6794902429,0.0,0.0,2396573.0631700517,0.0,1372976.240159299,443138.1878614098,208472.63886101154,14258.133970529669,1415294.1766308243,110187.67993628036,2622.11186778176,0.0,0.0,5991.750003982476,0.0,3432.466244524094,1571.9849143767422,520.5757546794106,35.90177618478693,3537.607160493827,275.6743528474711
Greenwich School District,0570011,2018,196431009.0,21672.0,9064.0,9013.0,3556.0,1350.0,0.0,0.0,91489515.0,0.0,2067964.0,6529341.0,9258013.0,126288.0,0.0,86958537.0,0.0,0.0,0.0,10094.0,0.0,229.0,1836.0,1027.0,14.0,0.0,9648.0,251.1,1.282206292313819,27787.974767025087,251865075.74535242,1730.9784946236557,0.0,0.0,117308431.81373954,0.0,2651556.453078455,8371962.114862604,11870682.522923138,161927.2682437276,0.0,111498783.31180406,0.0,0.0,0.0,12942.59031461569,0.0,293.62524093986457,2354.130752688172,1316.8258622062922,17.950888092393466,0.0,12370.726308243728
