district,district_code,school,school_code,low_grade,high_grade,enrollment,pct_high_needs,ppe_instruction,ppe_support_services_students,ppe_improvement_of_instruction,ppe_library_and_media_services,ppe_support_services_instruction,ppe_support_services_school_based_administration,ppe_operation_and_maintenance_of_plant,ppe_transportation_other_than_to_from_home,ppe_enterprise_operations,ppe_minor_school_construction,ppe_total,fiscal_year,cpi_u,deflator,ppe_instruction_real,ppe_support_services_students_real,ppe_improvement_of_instruction_real,ppe_library_and_media_services_real,ppe_support_services_instruction_real,ppe_support_services_school_based_administration_real,ppe_operation_and_maintenance_of_plant_real,ppe_transportation_other_than_to_from_home_real,ppe_enterprise_operations_real,ppe_minor_school_construction_real,ppe_total_real
Manchester School District,0770011,Buckley School,0770311,K,4,284,58.1,12221,2530,4001,144,0,1292,1387,5,0,,21579,2025,321.962,1.0,12221.0,2530.0,4001.0,144.0,0.0,1292.0,1387.0,5.0,0.0,,21579.0
Manchester School District,0770011,Elisabeth M. Bennet Academy,0771711,5,6,864,70.6,11176,2679,3907,61,0,1494,1586,5,62,,20970,2025,321.962,1.0,11176.0,2679.0,3907.0,61.0,0.0,1494.0,1586.0,5.0,62.0,,20970.0
Manchester School District,0770011,Highland Park School,0770411,K,4,300,60.3,10966,3142,4001,16,0,1187,1064,5,0,,20381,2025,321.962,1.0,10966.0,3142.0,4001.0,16.0,0.0,1187.0,1064.0,5.0,0.0,,20381.0
Manchester School District,0770011,Illing Middle School,0775311,7,8,763,65.9,11045,2951,3906,67,0,1309,1715,23,200,,21215,2025,321.962,1.0,11045.0,2951.0,3906.0,67.0,0.0,1309.0,1715.0,23.0,200.0,,21215.0
Manchester School District,0770011,Keeney School,0770611,K,4,366,60.9,11161,2119,4001,74,0,1006,1013,5,0,,19378,2025,321.962,1.0,11161.0,2119.0,4001.0,74.0,0.0,1006.0,1013.0,5.0,0.0,,19378.0
Manchester School District,0770011,Manchester High School,0776111,9,12,1703,65.6,11036,1991,4361,83,0,1244,1609,59,707,,21089,2025,321.962,1.0,11036.0,1991.0,4361.0,83.0,0.0,1244.0,1609.0,59.0,707.0,,21089.0
Manchester School District,0770011,Manchester Preschool Center at Martin,0771811,PK,K,153,87.6,11898,1868,0,4,0,42,1532,0,0,,15344,2025,321.962,1.0,11898.0,1868.0,0.0,4.0,0.0,42.0,1532.0,0.0,0.0,,15344.0
Manchester School District,0770011,Verplanck School,0771211,K,4,466,83.7,11436,2218,4001,19,0,841,1003,5,0,,19522,2025,321.962,1.0,11436.0,2218.0,4001.0,19.0,0.0,841.0,1003.0,5.0,0.0,,19522.0
Manchester School District,0770011,Waddell School,0771311,K,4,476,79.2,11345,2203,4001,83,0,701,917,7,0,,19255,2025,321.962,1.0,11345.0,2203.0,4001.0,83.0,0.0,701.0,917.0,7.0,0.0,,19255.0
Mansfield School District,0780011,Mansfield Elementary School,0780111,PK,4,549,43.7,15329,1533,253,373,0,2148,855,0,39,,20530,2025,321.962,1.0,15329.0,1533.0,253.0,373.0,0.0,2148.0,855.0,0.0,39.0,,20530.0
Mansfield School District,0780011,Mansfield Middle School,0785111,5,8,414,39.9,16766,2094,253,580,0,2797,3522,0,230,,26241,2025,321.962,1.0,16766.0,2094.0,253.0,580.0,0.0,2797.0,3522.0,0.0,230.0,,26241.0
Marlborough School District,0790011,Elmer Thienes-Mary Hall Elementary School,0790111,PK,6,458,27.3,12335,1318,0,547,0,1386,1987,0,0,,17571,2025,321.962,1.0,12335.0,1318.0,0.0,547.0,0.0,1386.0,1987.0,0.0,0.0,,17571.0
Meriden School District,0800011,Benjamin Franklin School,0800111,PK,5,357,75.1,9389,1243,9,329,0,811,2634,3,6,,14423,2025,321.962,1.0,9389.0,1243.0,9.0,329.0,0.0,811.0,2634.0,3.0,6.0,,14423.0
Meriden School District,0800011,Casimir Pulaski School,0801111,PK,5,539,90.4,8694,802,9,0,0,855,1278,2,5,,11645,2025,321.962,1.0,8694.0,802.0,9.0,0.0,0.0,855.0,1278.0,2.0,5.0,,11645.0
Meriden School District,0800011,Edison Middle School,0802711,6,8,773,77.1,9306,885,9,1,0,865,1616,9,81,,12773,2025,321.962,1.0,9306.0,885.0,9.0,1.0,0.0,865.0,1616.0,9.0,81.0,,12773.0
Meriden School District,0800011,Francis T. Maloney High School,0806111,9,12,1291,78.5,9695,1061,12,81,0,684,1708,86,448,,13774,2025,321.962,1.0,9695.0,1061.0,12.0,81.0,0.0,684.0,1708.0,86.0,448.0,,13774.0
Meriden School District,0800011,Hanover School,0800311,PK,5,456,82.9,8560,1237,9,4,0,1079,1618,1,5,,12512,2025,321.962,1.0,8560.0,1237.0,9.0,4.0,0.0,1079.0,1618.0,1.0,5.0,,12512.0
Meriden School District,0800011,Israel Putnam School,0800411,PK,5,445,85.6,9213,679,18,4,0,987,1394,3,5,,12303,2025,321.962,1.0,9213.0,679.0,18.0,4.0,0.0,987.0,1394.0,3.0,5.0,,12303.0
Meriden School District,0800011,John Barry School,0800511,PK,5,418,89.0,9007,1165,9,4,0,1162,2513,6,5,,13872,2025,321.962,1.0,9007.0,1165.0,9.0,4.0,0.0,1162.0,2513.0,6.0,5.0,,13872.0
Meriden School District,0800011,Lincoln Middle School,0805211,6,8,684,88.5,8927,1116,9,159,0,833,1688,11,84,,12827,2025,321.962,1.0,8927.0,1116.0,9.0,159.0,0.0,833.0,1688.0,11.0,84.0,,12827.0
Meriden School District,0800011,Nathan Hale School,0800711,PK,5,485,79.8,9054,608,9,4,0,894,1783,0,5,,12357,2025,321.962,1.0,9054.0,608.0,9.0,4.0,0.0,894.0,1783.0,0.0,5.0,,12357.0
Meriden School District,0800011,Orville H. Platt High School,0806211,9,12,1191,85.3,8981,1326,11,91,0,698,1738,89,457,,13391,2025,321.962,1.0,8981.0,1326.0,11.0,91.0,0.0,698.0,1738.0,89.0,457.0,,13391.0
Meriden School District,0800011,Roger Sherman School,0800811,PK,5,457,90.6,8439,1084,9,3,0,931,1585,0,5,,12056,2025,321.962,1.0,8439.0,1084.0,9.0,3.0,0.0,931.0,1585.0,0.0,5.0,,12056.0
Meriden School District,0800011,Thomas Hooker School,0801011,PK,5,404,79.5,8911,1081,9,2,0,839,1220,1,5,,12069,2025,321.962,1.0,8911.0,1081.0,9.0,2.0,0.0,839.0,1220.0,1.0,5.0,,12069.0
Meriden School District,0800011,Washington Middle School,0805411,6,8,536,88.8,10298,1430,9,195,0,938,1920,11,130,,14929,2025,321.962,1.0,10298.0,1430.0,9.0,195.0,0.0,938.0,1920.0,11.0,130.0,,14929.0
Middletown School District,0830011,Beman Middle School,0835411,6,8,977,56.2,11657,2542,429,109,38,1257,1327,39,120,,17517,2025,321.962,1.0,11657.0,2542.0,429.0,109.0,38.0,1257.0,1327.0,39.0,120.0,,17517.0
Middletown School District,0830011,Bielefield School,0830211,PK,5,251,70.9,13588,3061,815,519,0,1814,1318,2,0,,21117,2025,321.962,1.0,13588.0,3061.0,815.0,519.0,0.0,1814.0,1318.0,2.0,0.0,,21117.0
Middletown School District,0830011,Farm Hill School,0830511,PK,5,316,67.4,11749,3104,673,428,0,1230,1577,2,0,,18763,2025,321.962,1.0,11749.0,3104.0,673.0,428.0,0.0,1230.0,1577.0,2.0,0.0,,18763.0
Middletown School District,0830011,Lawrence School,0831311,PK,5,305,52.1,10623,1698,1293,326,0,1269,1379,2,0,,16590,2025,321.962,1.0,10623.0,1698.0,1293.0,326.0,0.0,1269.0,1379.0,2.0,0.0,,16590.0
Middletown School District,0830011,Macdonough School,0830911,K,5,218,82.6,12623,2054,1578,595,0,1666,1631,2,0,,20149,2025,321.962,1.0,12623.0,2054.0,1578.0,595.0,0.0,1666.0,1631.0,2.0,0.0,,20149.0
Middletown School District,0830011,Middletown High School,0836211,9,12,1193,57.7,12715,2913,357,184,40,1179,2009,109,1046,,20553,2025,321.962,1.0,12715.0,2913.0,357.0,184.0,40.0,1179.0,2009.0,109.0,1046.0,,20553.0
Middletown School District,0830011,Moody School,0831211,PK,5,212,35.8,14256,3160,1176,481,0,1762,1623,2,0,,22460,2025,321.962,1.0,14256.0,3160.0,1176.0,481.0,0.0,1762.0,1623.0,2.0,0.0,,22460.0
Middletown School District,0830011,Snow School,0831111,PK,5,340,68.5,11598,2304,744,187,0,979,1247,7,0,,17066,2025,321.962,1.0,11598.0,2304.0,744.0,187.0,0.0,979.0,1247.0,7.0,0.0,,17066.0
Middletown School District,0830011,Spencer School,0830111,PK,5,237,68.8,13952,3092,1228,410,0,1582,1735,2,0,,22003,2025,321.962,1.0,13952.0,3092.0,1228.0,410.0,0.0,1582.0,1735.0,2.0,0.0,,22003.0
Middletown School District,0830011,Wesley School,0831411,PK,5,214,44.4,13100,3504,772,672,0,1646,2033,2,0,,21730,2025,321.962,1.0,13100.0,3504.0,772.0,672.0,0.0,1646.0,2033.0,2.0,0.0,,21730.0
Milford School District,0840011,Calf Pen Meadow School,0840111,K,5,269,38.3,16952,734,2,556,0,2124,2480,0,19,,22868,2025,321.962,1.0,16952.0,734.0,2.0,556.0,0.0,2124.0,2480.0,0.0,19.0,,22868.0
Milford School District,0840011,East Shore Middle School,0845111,6,8,339,39.2,19172,1027,2,456,0,2605,2800,0,92,,26154,2025,321.962,1.0,19172.0,1027.0,2.0,456.0,0.0,2605.0,2800.0,0.0,92.0,,26154.0
Milford School District,0840011,Harborside Middle School,0845211,6,8,400,40.5,17111,916,2,389,0,2334,2408,0,92,,23252,2025,321.962,1.0,17111.0,916.0,2.0,389.0,0.0,2334.0,2408.0,0.0,92.0,,23252.0
Milford School District,0840011,J. F. Kennedy School,0841911,PK,5,295,51.5,16051,714,2,368,0,1935,2640,0,19,,21729,2025,321.962,1.0,16051.0,714.0,2.0,368.0,0.0,1935.0,2640.0,0.0,19.0,,21729.0
Milford School District,0840011,Jonathan Law High School,0846211,9,12,776,41.2,15559,1281,2,195,0,2493,2917,148,1039,,23635,2025,321.962,1.0,15559.0,1281.0,2.0,195.0,0.0,2493.0,2917.0,148.0,1039.0,,23635.0
Milford School District,0840011,Joseph A. Foran High School,0846311,9,12,727,37.3,15070,1071,2,202,0,2663,3323,168,1047,,23548,2025,321.962,1.0,15070.0,1071.0,2.0,202.0,0.0,2663.0,3323.0,168.0,1047.0,,23548.0
Milford School District,0840011,Live Oaks School,0841611,PK,5,272,46.0,16810,683,2,559,0,2035,2347,0,19,,22454,2025,321.962,1.0,16810.0,683.0,2.0,559.0,0.0,2035.0,2347.0,0.0,19.0,,22454.0
Milford School District,0840011,Mathewson School,0841711,K,5,327,40.7,17914,641,2,468,0,1837,2160,0,19,,23041,2025,321.962,1.0,17914.0,641.0,2.0,468.0,0.0,1837.0,2160.0,0.0,19.0,,23041.0
Milford School District,0840011,Meadowside School,0840711,K,5,276,51.1,16293,737,2,455,0,2002,2265,0,19,,21773,2025,321.962,1.0,16293.0,737.0,2.0,455.0,0.0,2002.0,2265.0,0.0,19.0,,21773.0
Milford School District,0840011,Orange Avenue School,0840811,PK,5,414,37.0,15060,623,2,379,0,1622,1980,0,19,,19686,2025,321.962,1.0,15060.0,623.0,2.0,379.0,0.0,1622.0,1980.0,0.0,19.0,,19686.0
Milford School District,0840011,Orchard Hills School,0841811,PK,5,350,37.7,16673,614,2,351,0,1721,2141,0,19,,21522,2025,321.962,1.0,16673.0,614.0,2.0,351.0,0.0,1721.0,2141.0,0.0,19.0,,21522.0
Milford School District,0840011,Pumpkin Delight School,0841011,PK,5,271,41.7,16061,702,2,397,0,2051,2402,0,19,,21635,2025,321.962,1.0,16061.0,702.0,2.0,397.0,0.0,2051.0,2402.0,0.0,19.0,,21635.0
Milford School District,0840011,West Shore Middle School,0845311,6,8,394,48.2,16861,835,2,378,0,2328,2404,0,92,,22900,2025,321.962,1.0,16861.0,835.0,2.0,378.0,0.0,2328.0,2404.0,0.0,92.0,,22900.0
Monroe School District,0850011,Fawn Hollow Elementary School,0850511,K,5,682,25.2,10257,982,169,103,0,1078,911,0,0,,13500,2025,321.962,1.0,10257.0,982.0,169.0,103.0,0.0,1078.0,911.0,0.0,0.0,,13500.0
Monroe School District,0850011,Jockey Hollow School,0855211,6,8,765,31.8,12769,1588,201,293,51,1435,911,0,20,,17268,2025,321.962,1.0,12769.0,1588.0,201.0,293.0,51.0,1435.0,911.0,0.0,20.0,,17268.0
Monroe School District,0850011,Masuk High School,0856111,9,12,1044,18.8,12391,1434,170,189,98,2430,1929,155,367,,19164,2025,321.962,1.0,12391.0,1434.0,170.0,189.0,98.0,2430.0,1929.0,155.0,367.0,,19164.0
Monroe School District,0850011,Monroe Elementary School,0850111,PK,5,414,38.6,14047,1589,169,407,0,1060,1278,0,17,,18569,2025,321.962,1.0,14047.0,1589.0,169.0,407.0,0.0,1060.0,1278.0,0.0,17.0,,18569.0
Monroe School District,0850011,Stepney Elementary School,0850311,K,5,512,32.4,11416,1098,170,179,0,913,1015,0,0,,14791,2025,321.962,1.0,11416.0,1098.0,170.0,179.0,0.0,913.0,1015.0,0.0,0.0,,14791.0
Montville School District,0860011,Dr. Charles E. Murphy School,0860711,K,5,296,49.7,12613,1149,24,433,0,1202,2316,0,129,,17866,2025,321.962,1.0,12613.0,1149.0,24.0,433.0,0.0,1202.0,2316.0,0.0,129.0,,17866.0
Montville School District,0860011,Leonard J. Tyl Middle School,0865111,6,8,519,56.8,13270,1472,19,107,0,1146,1947,0,166,,18128,2025,321.962,1.0,13270.0,1472.0,19.0,107.0,0.0,1146.0,1947.0,0.0,166.0,,18128.0
Montville School District,0860011,Mohegan School,0860111,K,5,305,63.9,15508,1698,23,283,0,1159,2031,0,14,,20717,2025,321.962,1.0,15508.0,1698.0,23.0,283.0,0.0,1159.0,2031.0,0.0,14.0,,20717.0
Montville School District,0860011,Montville High School,0866111,9,12,491,51.1,15232,1668,28,359,0,1300,2568,0,988,,22142,2025,321.962,1.0,15232.0,1668.0,28.0,359.0,0.0,1300.0,2568.0,0.0,988.0,,22142.0
Montville School District,0860011,Oakdale School,0860511,K,5,271,45.4,12753,1660,23,227,241,1357,2236,0,38,,18535,2025,321.962,1.0,12753.0,1660.0,23.0,227.0,241.0,1357.0,2236.0,0.0,38.0,,18535.0
Naugatuck School District,0880011,Andrew Avenue School,0880811,K,4,221,84.6,9769,1746,211,259,0,1454,1350,0,0,,14789,2025,321.962,1.0,9769.0,1746.0,211.0,259.0,0.0,1454.0,1350.0,0.0,0.0,,14789.0
Naugatuck School District,0880011,City Hill Middle School,0885111,7,8,614,69.7,9634,1409,0,197,0,1425,1115,0,0,,13781,2025,321.962,1.0,9634.0,1409.0,0.0,197.0,0.0,1425.0,1115.0,0.0,0.0,,13781.0
Naugatuck School District,0880011,Cross Street Intermediate School,0880211,5,6,311,60.8,9910,1764,0,440,0,1313,1119,0,0,,14546,2025,321.962,1.0,9910.0,1764.0,0.0,440.0,0.0,1313.0,1119.0,0.0,0.0,,14546.0
Naugatuck School District,0880011,Hillside Intermediate School,0880411,5,6,292,71.6,9454,1413,0,7,0,1383,1272,0,0,,13529,2025,321.962,1.0,9454.0,1413.0,0.0,7.0,0.0,1383.0,1272.0,0.0,0.0,,13529.0
Naugatuck School District,0880011,Hop Brook Elementary School,0880511,K,4,312,76.6,9845,1706,0,245,0,1076,898,0,0,,13770,2025,321.962,1.0,9845.0,1706.0,0.0,245.0,0.0,1076.0,898.0,0.0,0.0,,13770.0
Naugatuck School District,0880011,Maple Hill School,0880311,K,4,464,61.4,10508,1586,0,122,0,1115,803,0,0,,14133,2025,321.962,1.0,10508.0,1586.0,0.0,122.0,0.0,1115.0,803.0,0.0,0.0,,14133.0
Naugatuck School District,0880011,Naugatuck High School,0886111,9,12,1202,62.8,10537,1878,53,136,0,1331,1886,0,0,,15822,2025,321.962,1.0,10537.0,1878.0,53.0,136.0,0.0,1331.0,1886.0,0.0,0.0,,15822.0
Naugatuck School District,0880011,Salem School,0880611,K,4,231,79.7,10589,1799,294,636,0,1391,1224,0,0,,15932,2025,321.962,1.0,10589.0,1799.0,294.0,636.0,0.0,1391.0,1224.0,0.0,0.0,,15932.0
Naugatuck School District,0880011,Western School,0880711,K,4,242,64.0,9971,695,192,7,0,1347,1071,0,0,,13284,2025,321.962,1.0,9971.0,695.0,192.0,7.0,0.0,1347.0,1071.0,0.0,0.0,,13284.0
New Beginnings Inc Family Academy District,2800013,New Beginnings Inc Family Academy,2800113,PK,8,431,91.4,10381,441,0,0,67,765,1273,30,0,,12956,2025,321.962,1.0,10381.0,441.0,0.0,0.0,67.0,765.0,1273.0,30.0,0.0,,12956.0
New Britain School District,0890011,Chamberlain Elementary School,0890311,K,5,402,90.0,13176,2009,310,28,214,413,2136,19,58,,18364,2025,321.962,1.0,13176.0,2009.0,310.0,28.0,214.0,413.0,2136.0,19.0,58.0,,18364.0
New Britain School District,0890011,DiLoreto Elementary & Middle School,0891111,K,8,819,83.3,10453,929,88,14,184,698,1495,19,58,,13937,2025,321.962,1.0,10453.0,929.0,88.0,14.0,184.0,698.0,1495.0,19.0,58.0,,13937.0
New Britain School District,0890011,Gaffney Elementary School,0890511,PK,5,438,80.6,16185,2604,88,35,184,816,1702,19,58,,21690,2025,321.962,1.0,16185.0,2604.0,88.0,35.0,184.0,816.0,1702.0,19.0,58.0,,21690.0
New Britain School District,0890011,Holmes Elementary School,0890611,K,5,414,78.3,12367,1156,88,40,184,905,1602,19,58,,16418,2025,321.962,1.0,12367.0,1156.0,88.0,40.0,184.0,905.0,1602.0,19.0,58.0,,16418.0
New Britain School District,0890011,House of Arts Letters and Science (HALS) Academy,0895411,6,8,152,55.9,9444,1452,88,0,184,693,1583,19,58,,13520,2025,321.962,1.0,9444.0,1452.0,88.0,0.0,184.0,693.0,1583.0,19.0,58.0,,13520.0
New Britain School District,0890011,Jefferson Elementary School,0890711,K,5,389,83.8,11327,1260,95,0,200,530,1883,19,58,,15370,2025,321.962,1.0,11327.0,1260.0,95.0,0.0,200.0,530.0,1883.0,19.0,58.0,,15370.0
New Britain School District,0890011,Lincoln Elementary School,0890811,K,5,552,87.9,13798,1282,91,25,184,642,1828,19,58,,17926,2025,321.962,1.0,13798.0,1282.0,91.0,25.0,184.0,642.0,1828.0,19.0,58.0,,17926.0
New Britain School District,0890011,New Britain High School,0896111,9,12,2521,80.6,10320,1730,88,51,186,566,1900,19,58,,14916,2025,321.962,1.0,10320.0,1730.0,88.0,51.0,186.0,566.0,1900.0,19.0,58.0,,14916.0
New Britain School District,0890011,Northend Elementary School,0890911,K,5,212,88.7,13472,1641,88,73,184,815,2699,19,58,,19049,2025,321.962,1.0,13472.0,1641.0,88.0,73.0,184.0,815.0,2699.0,19.0,58.0,,19049.0
New Britain School District,0890011,Pulaski Middle School,0895311,6,8,839,89.5,11826,1895,153,18,187,828,2050,19,58,,17034,2025,321.962,1.0,11826.0,1895.0,153.0,18.0,187.0,828.0,2050.0,19.0,58.0,,17034.0
New Britain School District,0890011,Slade Middle School,0895211,6,8,781,84.4,12377,2035,238,19,187,717,2110,19,58,,17759,2025,321.962,1.0,12377.0,2035.0,238.0,19.0,187.0,717.0,2110.0,19.0,58.0,,17759.0
New Britain School District,0890011,Smalley Elementary School,0891211,K,5,594,93.8,11570,973,699,26,201,614,1631,19,58,,15791,2025,321.962,1.0,11570.0,973.0,699.0,26.0,201.0,614.0,1631.0,19.0,58.0,,15791.0
New Britain School District,0890011,Smith Elementary School,0891311,K,5,461,86.6,12359,1344,94,31,189,794,1816,19,58,,16704,2025,321.962,1.0,12359.0,1344.0,94.0,31.0,189.0,794.0,1816.0,19.0,58.0,,16704.0
New Britain School District,0890011,Vance Elementary School,0891511,K,5,438,84.9,11598,1097,88,29,184,853,1788,19,58,,15713,2025,321.962,1.0,11598.0,1097.0,88.0,29.0,184.0,853.0,1788.0,19.0,58.0,,15713.0
New Canaan School District,0900011,East School,0900411,K,4,554,10.3,13414,1857,113,672,320,1266,1996,0,28,,19665,2025,321.962,1.0,13414.0,1857.0,113.0,672.0,320.0,1266.0,1996.0,0.0,28.0,,19665.0
New Canaan School District,0900011,New Canaan High School,0906111,9,12,1257,12.9,14147,2917,113,678,283,1443,1998,260,1704,,23543,2025,321.962,1.0,14147.0,2917.0,113.0,678.0,283.0,1443.0,1998.0,260.0,1704.0,,23543.0
New Canaan School District,0900011,Saxe Middle School,0905111,5,8,1271,15.3,14727,2344,113,430,279,1201,2014,0,201,,21310,2025,321.962,1.0,14727.0,2344.0,113.0,430.0,279.0,1201.0,2014.0,0.0,201.0,,21310.0
New Canaan School District,0900011,South School,0900211,K,4,477,11.7,15593,2064,113,809,327,1464,1983,0,37,,22390,2025,321.962,1.0,15593.0,2064.0,113.0,809.0,327.0,1464.0,1983.0,0.0,37.0,,22390.0
New Canaan School District,0900011,West School,0900311,PK,4,481,15.6,14164,2349,113,707,323,1446,2050,0,29,,21181,2025,321.962,1.0,14164.0,2349.0,113.0,707.0,323.0,1446.0,2050.0,0.0,29.0,,21181.0
New Fairfield School District,0910011,New Fairfield Elementary School,0910211,PK,5,946,33.9,11441,2348,395,274,118,1282,1470,1,0,,17328,2025,321.962,1.0,11441.0,2348.0,395.0,274.0,118.0,1282.0,1470.0,1.0,0.0,,17328.0
New Fairfield School District,0910011,New Fairfield High School,0916111,9,12,693,31.7,13057,3016,395,204,133,1530,1603,166,0,,20105,2025,321.962,1.0,13057.0,3016.0,395.0,204.0,133.0,1530.0,1603.0,166.0,0.0,,20105.0
New Fairfield School District,0910011,New Fairfield Middle School,0915211,6,8,464,33.0,14846,3051,395,263,116,1524,1640,0,0,,21835,2025,321.962,1.0,14846.0,3051.0,395.0,263.0,116.0,1524.0,1640.0,0.0,0.0,,21835.0
New Hartford School District,0920011,Ann Antolini School,0920311,3,6,241,39.0,13635,267,370,29,390,1191,2099,0,0,,17982,2025,321.962,1.0,13635.0,267.0,370.0,29.0,390.0,1191.0,2099.0,0.0,0.0,,17982.0
New Hartford School District,0920011,Bakerville Consolidated School,0920111,K,2,104,24.0,12779,580,365,30,393,1436,2119,0,0,,17703,2025,321.962,1.0,12779.0,580.0,365.0,30.0,393.0,1436.0,2119.0,0.0,0.0,,17703.0
New Hartford School District,0920011,New Hartford Elementary School,0920211,PK,2,84,36.9,16109,583,384,37,463,1792,2536,0,0,,21904,2025,321.962,1.0,16109.0,583.0,384.0,37.0,463.0,1792.0,2536.0,0.0,0.0,,21904.0
New Haven School District,0930011,Augusta Lewis Troup School,0931511,PK,8,300,93.7,11281,1148,800,5,2,1625,1681,21,40,,16602,2025,321.962,1.0,11281.0,1148.0,800.0,5.0,2.0,1625.0,1681.0,21.0,40.0,,16602.0
New Haven School District,0930011,Barack H. Obama Magnet University School,0932811,PK,4,343,89.2,12038,884,624,5,2,1381,1854,21,40,,16848,2025,321.962,1.0,12038.0,884.0,624.0,5.0,2.0,1381.0,1854.0,21.0,40.0,,16848.0
New Haven School District,0930011,Barnard Environmental Magnet School,0930211,PK,8,496,81.3,12042,585,590,5,2,1063,1542,21,40,,15889,2025,321.962,1.0,12042.0,585.0,590.0,5.0,2.0,1063.0,1542.0,21.0,40.0,,15889.0
New Haven School District,0930011,Beecher School,0930311,PK,8,462,81.8,10504,843,553,5,2,1434,1869,21,40,,15270,2025,321.962,1.0,10504.0,843.0,553.0,5.0,2.0,1434.0,1869.0,21.0,40.0,,15270.0
New Haven School District,0930011,Benjamin Jepson Magnet School,0931811,PK,8,483,82.2,12669,832,577,5,2,1531,1773,21,40,,17450,2025,321.962,1.0,12669.0,832.0,577.0,5.0,2.0,1531.0,1773.0,21.0,40.0,,17450.0
New Haven School District,0930011,Betsy Ross Arts and Design Academy,0935511,5,8,348,78.4,14006,976,922,5,2,3059,1718,21,40,,20749,2025,321.962,1.0,14006.0,976.0,922.0,5.0,2.0,3059.0,1718.0,21.0,40.0,,20749.0
New Haven School District,0930011,Bishop Woods Architecture and Design Magnet School,0934311,K,8,408,86.5,10789,1125,624,5,2,1344,1765,21,40,,15714,2025,321.962,1.0,10789.0,1125.0,624.0,5.0,2.0,1344.0,1765.0,21.0,40.0,,15714.0
New Haven School District,0930011,Brennan Rogers School,0932111,PK,8,203,93.1,14623,2401,982,5,2,1430,2765,21,40,,22268,2025,321.962,1.0,14623.0,2401.0,982.0,5.0,2.0,1430.0,2765.0,21.0,40.0,,22268.0
New Haven School District,0930011,"Celentano BioTech, Health and Medical Magnet School",0934811,PK,8,328,87.2,12576,1117,669,5,234,1419,1705,21,40,,17786,2025,321.962,1.0,12576.0,1117.0,669.0,5.0,234.0,1419.0,1705.0,21.0,40.0,,17786.0
New Haven School District,0930011,Clinton Avenue School,0930611,K,8,446,97.8,11352,821,556,5,2,1097,1416,21,40,,15308,2025,321.962,1.0,11352.0,821.0,556.0,5.0,2.0,1097.0,1416.0,21.0,40.0,,15308.0
New Haven School District,0930011,Conte/West Hills Magnet School,0933111,PK,8,496,87.3,11200,1095,562,5,3,1649,1814,21,40,,16387,2025,321.962,1.0,11200.0,1095.0,562.0,5.0,3.0,1649.0,1814.0,21.0,40.0,,16387.0
New Haven School District,0930011,Cooperative High School - Inter-District Magnet,0936411,9,12,560,76.3,13549,686,480,5,218,2245,1649,21,40,,18893,2025,321.962,1.0,13549.0,686.0,480.0,5.0,218.0,2245.0,1649.0,21.0,40.0,,18893.0
New Haven School District,0930011,Davis Academy for Arts & Design Innovation,0930911,PK,8,489,67.1,11880,592,516,5,2,1167,1633,21,40,,15856,2025,321.962,1.0,11880.0,592.0,516.0,5.0,2.0,1167.0,1633.0,21.0,40.0,,15856.0
New Haven School District,0930011,East Rock Community Magnet School,0934611,PK,8,442,84.6,12318,1541,651,5,2,1148,1431,21,40,,17156,2025,321.962,1.0,12318.0,1541.0,651.0,5.0,2.0,1148.0,1431.0,21.0,40.0,,17156.0
New Haven School District,0930011,Edgewood School,0931211,K,8,397,65.0,10074,645,546,5,2,1239,1595,21,40,,14166,2025,321.962,1.0,10074.0,645.0,546.0,5.0,2.0,1239.0,1595.0,21.0,40.0,,14166.0
New Haven School District,0930011,Engineering - Science University Magnet School,0931711,6,12,608,54.1,13958,597,538,5,2,1087,1685,21,40,,17933,2025,321.962,1.0,13958.0,597.0,538.0,5.0,2.0,1087.0,1685.0,21.0,40.0,,17933.0
New Haven School District,0930011,Fair Haven School,0931611,PK,8,734,96.3,11072,917,726,5,2,1159,1680,21,40,,15621,2025,321.962,1.0,11072.0,917.0,726.0,5.0,2.0,1159.0,1680.0,21.0,40.0,,15621.0
New Haven School District,0930011,Family Academy of Multilingual Exploration,0934111,PK,8,441,95.9,10053,585,802,5,2,1148,1550,21,40,,14205,2025,321.962,1.0,10053.0,585.0,802.0,5.0,2.0,1148.0,1550.0,21.0,40.0,,14205.0
New Haven School District,0930011,High School In The Community,0936611,9,12,251,86.5,15764,1128,1707,5,2,1145,2001,21,40,,21811,2025,321.962,1.0,15764.0,1128.0,1707.0,5.0,2.0,1145.0,2001.0,21.0,40.0,,21811.0
New Haven School District,0930011,Hill Central Music Academy,0930711,PK,8,430,95.1,11884,863,780,5,2,1155,1300,21,40,,16050,2025,321.962,1.0,11884.0,863.0,780.0,5.0,2.0,1155.0,1300.0,21.0,40.0,,16050.0
New Haven School District,0930011,Hill Regional Career High School,0936311,9,12,625,84.6,14607,768,634,5,2,2093,1381,21,40,,19551,2025,321.962,1.0,14607.0,768.0,634.0,5.0,2.0,2093.0,1381.0,21.0,40.0,,19551.0
New Haven School District,0930011,James Hillhouse High School,0936211,9,12,1124,89.1,11766,1134,835,5,106,1148,2597,21,40,,17652,2025,321.962,1.0,11766.0,1134.0,835.0,5.0,106.0,1148.0,2597.0,21.0,40.0,,17652.0
